"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","And User clicks ""fieldBankSupplier"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","304","And User click ""fieldTipeUser"" in ""menuMissionV4""","","Thu Sep 12 00:34:17 WIB 2024","passed","Thu Sep 12 00:34:17 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1","And User clicks ""fieldPengiriman"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User send PO document ""Super.png"" in ""dropzoneNotaPengajuan""","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","116","And User clicks ""fieldTipePT"" button in ""PO"" page","","Thu Sep 12 00:54:02 WIB 2024","passed","Thu Sep 12 00:54:02 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","2","When User clicks ""btnTambahProdukPO"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1629","Given I send login url","","Thu Sep 12 00:52:48 WIB 2024","passed","Thu Sep 12 00:52:50 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","316","Given I am on the login page","","Wed Sep 11 23:57:22 WIB 2024","passed","Wed Sep 11 23:57:22 WIB 2024","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","285","And User click ""optTipeProduk0"" in ""menuMissionV4""","","Thu Sep 12 00:34:27 WIB 2024","passed","Thu Sep 12 00:34:28 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","286","And User click ""fieldInputTarget"" in ""menuMissionV4""","","Thu Sep 12 00:34:33 WIB 2024","passed","Thu Sep 12 00:34:33 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","243","When User click ""navMenuPurchasing"" button in ""Global"" page","","Thu Sep 12 00:53:45 WIB 2024","passed","Thu Sep 12 00:53:45 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User fill ""fieldDiskon1ModalPO"" with value ""500"" in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","1","And User can wait loading application for ""3"" seconds","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","3321","And User clicks ""optGudangPOAloha"" button in ""PO"" page","","Thu Sep 12 00:53:58 WIB 2024","passed","Thu Sep 12 00:54:02 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","0","And User verified ""purchase order cost"" for ""textValueGrandTotal"" is ""Rp 104.894.900,000""","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","251","And User click ""radioBtnFixed"" in ""menuMissionV4""","","Thu Sep 12 00:34:16 WIB 2024","passed","Thu Sep 12 00:34:17 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","46470","Given User click ""btnBuatMisiPage"" in ""menuMissionRegular""","","Thu Sep 12 00:34:03 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","22894","And User click ""fieldSyaratDanKetentuan"" in ""menuMissionV4""","","Thu Sep 12 00:34:26 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","2","Then I see usernameDisplay","","Thu Sep 12 00:31:48 WIB 2024","skipped","Thu Sep 12 00:31:48 WIB 2024","","login Feature: As a user, I can login into superapp dashboard","",""
"","1271","And User set value ""10000"" into ""fieldInputReward""","","Thu Sep 12 00:34:35 WIB 2024","passed","Thu Sep 12 00:34:36 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","104648","Given I send login url","","Thu Sep 12 00:33:05 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","28274","And User click ""fieldTipeTarget"" in ""menuMissionV4""","","Thu Sep 12 00:34:21 WIB 2024","passed","Thu Sep 12 00:34:49 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","476","And User input ""startDate"" into ""fieldPeriodeMisi""","","Thu Sep 12 00:34:10 WIB 2024","passed","Thu Sep 12 00:34:11 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","5013","And User wait for 5 seconds","","Thu Sep 12 00:34:11 WIB 2024","passed","Thu Sep 12 00:34:16 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","1","And User clicks ""optPIC"" button in ""PO"" page","","Thu Sep 12 00:54:13 WIB 2024","skipped","Thu Sep 12 00:54:13 WIB 2024","","Create - Purchase Order: Memastikan Create PO Finish Good dan berhasil disimpan dengan status set","",""
"","2","hook:","","Thu Sep 12 00:54:13 WIB 2024","failed","Thu Sep 12 00:54:13 WIB 2024","","","",""
"","586","And User click ""toggleSwitchLeaderBoard"" in ""menuMissionV4""","","Thu Sep 12 00:34:36 WIB 2024","passed","Thu Sep 12 00:34:37 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
"","3009","And User wait for 3 seconds","","Thu Sep 12 00:34:18 WIB 2024","passed","Thu Sep 12 00:34:21 WIB 2024","","Create-mission: Memastikan dapat buat misi baru","",""
